"","ENSG00000073350_at","ENSG00000064547_at","ENSG00000058085_at","ENSG00000008323_at","ENSG00000006432_at","ENSG00000005001_at","ENSG00000002587_at","ENSG00000184363_at","target"
"22RV1",9.31363642941595,5.21186713122147,4.1241760508797,5.48252410894868,5.77157297437458,4.71066876184051,3.90075859744248,7.99389576545649,0.0508198459958593
"5637",9.63597850843919,7.65231113926001,10.9347425098488,5.68176277046176,5.66463448632413,6.25617601439841,8.52921747435426,9.00552631772541,0.203235544889072
"639-V",7.50343634053198,6.69035963395959,4.11132224375901,4.50224555634758,5.86942314537308,4.69774433669529,4.03648061386616,4.95410506646278,0.0113876145832891
"697",7.13892659571584,5.38542159612799,4.37647605777929,4.9118777970801,4.2820525781505,4.35165045417067,4.19345073199622,4.7602881885233,0.109496730041992
"769-P",7.23825618327232,5.30276142128439,10.1585316758773,4.31663434418503,5.12618447764045,4.8733050389471,5.91387340753746,5.34266980489775,0.257903359398813
"786-0",7.32674255602599,5.35004253156038,7.48215021852699,4.23183238811602,5.46659941439003,4.92239344279341,3.9998218231783,5.84214318103768,0.0174020298717271
"8305C",6.36529463990675,5.78248801414299,8.56319796423073,4.52491437212765,6.27318287218309,4.14744834627525,5.02469120429317,5.17972540227511,0.0298551537634076
"8505C",6.50790217285795,4.88418090352756,7.91782914861856,4.51170662217461,5.06927368255383,4.03180521240014,6.0139637002837,7.05912115943544,0.0330402243134315
"8-MG-BA",6.56644974473462,5.06720514172491,4.15343537283993,4.10331124569666,5.13431235641386,4.56763380025189,4.66827748344427,4.60875963854695,0.0752267256971563
"A172",6.39123790748449,5.7180403346556,7.13600374515457,4.42068013450533,4.37615430873771,4.24059134712427,3.68815800087304,6.34674878405283,0.0216909402869617
"A204",6.94489561496404,6.88669149392958,4.17713073617163,4.53021450942991,5.00272591659725,4.34535673833818,3.94028040300649,5.11920455242948,0.0872988780841945
"A2058",6.3879605802846,5.02263542954934,4.36204779748304,4.43745295182598,3.67180854568054,4.37612534678626,5.05439645006948,5.06722358032187,0.0203165554125714
