"","KRT78","IL36G","IGFL3","FABP5P10","ELOVL4","BASP1P1","SLPI","LINC02265","METTL7A","RDH12","PXMP4","BPIFC","PSAT1","NXPH4","CLCA2","ARL5A","PALMD","WDR34","NUDT8","MCM10","B9D1","ILVBL","ATP5G1P5","AKR7L","RASA2","PPP1R35","TNFAIP1","ZGLP1","ADAR","SUSD6","USP43","ACSL6","USP50","SLC9B2","HELB","CARD19","DNAJB1","AGMAT","IER5","FAM83E","P2RX5","RIPOR1","RFX5","TRADD","MIIP","SEMA4C","SLC2A3","PTPN22","INPP5E","PATL2","RAB39B","FRMD5","TEP1","SP100","CDKN2D","ARID3B","JMJD6","CCDC88B","CD247","ISG20","BTG1","CLIC4P3","ZBP1","LCAT","SP140","GPR18","PTGER4","ARFGAP3","CHORDC1","TREML2","CCND3","CCNA1","CARD9","SATB1","GPR68","CARD11","ACAP1","MAP3K14","TDRD7","C1orf228","HSPH1","TBX21","PARP12","TRAF1","LINC02407","STX1A","S1PR3","GNLY","KCNE4","EVL","TMC6","SH2D1B","ITGB7","AIM2","TNFSF10","USP30.AS1","CD40","IL18RAP","SLC17A9","ZAP70","CD226","CISH","APOBEC3G","GPAT3","TGM2","SUSD3","CD96","LINC00892","IRF1","FASLG","GADD45B","GZMK","TNFSF14","CSF2","PTPN7","RGS16","SOCS2","HAPLN3","XCL1","BIRC3","IL2RB","SAMD9L","BATF","SOCS1","TNFRSF11B","IL4","NFE2","CD69","HSPA6","GZMA","CYP4Z1","CYP4Z2P","BATF3","WFDC12","IL3","target"
"503_02",8.71742222162158,7.48965168085863,6.42731046067962,8.1265169744414,9.27886642547389,7.67180760736843,12.6022185896206,9.03597191282834,12.5474578278362,10.4121519470873,9.68864676960667,7.10347249557743,10.9389172416045,10.1365923314864,11.0790633662619,9.47242413960771,9.27273591469291,9.85523850815081,9.91339790978752,6.29939207676348,8.10565266440504,10.6704004627771,11.2518938747814,10.7307271103751,7.41978218227205,11.9011374490889,12.7385638155409,7.4817885381386,12.6032418077743,13.1348013714802,7.00221031497586,6.15533001947011,5.52135653575792,7.07703734314138,6.57093194580138,12.2901108681392,11.4139712537106,7.2380309261669,13.153222005067,7.70951260094403,6.40007610289648,10.5843310842641,9.27498388843609,12.6721636263994,11.7956268281848,12.7961811870016,7.042730289289,7.07619070765188,10.3297142990151,6.66231131396425,6.31215125512638,7.30162831504135,8.74133559868215,9.52299380495321,11.8944955105835,9.66245064912958,7.98962136349513,6.59210923047382,8.00770784253659,9.5522872701778,11.8573862305846,9.25085436433722,6.5328718534584,7.22825917557337,7.3178248873505,7.25023824963473,10.9669246980962,11.7111710924602,9.06324996181936,6.36969487797083,9.70758356380254,6.35981325647266,8.44214422603407,10.2109855533761,12.1304634057922,6.2963246679638,6.55835351068959,10.5276359355468,9.97159431911778,7.33584874202208,11.4505793232643,7.42806439551716,10.3553072396549,8.67611062769661,6.83130762913737,8.04162975261483,10.4569311262227,7.70470889191963,8.63578373533784,11.8036538793172,9.20980142782301,6.5757161330466,11.1282678520175,7.10734399208922,12.0365299438772,8.9477450771954,8.88687869297263,8.18416046054245,8.63758111787818,7.37907679916628,7.07386783792421,11.7385983583118,8.68096521371315,9.98640700680843,6.9523945990637,10.9122283430344,9.24455233023773,8.57910905298328,8.4369001015025,7.73990068434597,12.7059641394409,9.7777625481274,9.01920923408413,7.41225458237868,8.67070615991211,10.9042767731379,11.2545712976977,12.728137412753,8.83966857986302,11.7325857203072,10.507761088274,9.70535492198278,12.1919554989868,10.7414662984091,8.07005565763534,7.13996886447779,9.72611836955184,9.39224811964906,8.45889496565704,11.2501863607395,6.35975126377312,7.10039408062132,10.6026967158657,8.38039393051015,7.88522262344484,"ACD"
"503_04",11.6046319260279,11.9679280897209,8.60618935159377,10.0149808228178,10.4694006015122,9.33058709156242,13.2928760526685,10.2585106528249,13.1352492758074,12.0858461119249,10.6804289204536,8.87148550933207,12.0312511031978,10.5033123594448,11.6783485677145,10.556925675596,9.73736736583829,10.9875692598244,10.5272339879141,7.45978586405752,8.41423164392533,11.8888894140971,11.5535376946984,11.196985885821,7.2892416030038,12.3177889367771,12.2526226803376,7.84444006915638,12.0604252039848,12.4925054323347,6.71003630968386,6.27257751248223,5.8404552180759,6.31344334803024,6.75426548458245,12.1025701693564,10.9969519090686,6.50876747003609,13.0644224564352,6.78489550127163,6.68739066405827,10.0733653965775,9.47128634577827,12.7957149958192,11.4696037389321,12.42450441693,6.21999282417119,7.41710516168526,10.3586181991252,7.32854258575588,6.64240618296293,6.22250364502864,9.26790267932859,9.4392668199104,12.2352369402373,9.66231165287039,7.54056007518644,7.06523209550718,7.85481134347318,9.26725250958292,12.5009466347896,8.5839468667151,6.68339917456641,7.17083960974977,7.0022924438725,7.21794484509704,10.9907533803209,11.0925137831819,8.71969451173103,6.333703899953,9.64930922694137,5.86758224542318,8.69028418982368,10.0403071586532,11.5149243843953,6.79477607334069,6.89258173580807,10.2301836985269,9.9478876436068,8.04073043915513,10.8224496627435,6.78399773544794,9.9352809247973,8.70331515262164,6.03884250665841,7.76083618556104,8.94202613561865,7.36152161917551,7.7219339930115,11.6275460131247,8.7863316470992,6.01774923576979,11.0959391073438,6.86517933131919,12.2557131801875,7.9951571719671,8.20964374178049,8.54510663791305,7.97701946505626,7.78952437600352,6.67534770030254,10.7232770403065,8.49381390025525,9.50440385989222,6.05355664629814,11.4494314741464,9.06987228391271,8.829124667298,7.83809742408522,7.66872554734474,11.9017626275811,9.27501210534518,8.60970361503643,6.56418032150958,8.49914427362755,8.99815705393815,10.0967290699143,11.2615538418359,7.85371018559361,11.8789229256099,10.1529713556236,9.10915119000766,11.1353720954268,9.30079088019274,7.63558091321038,6.80516634090341,9.48537179493018,8.54320260408876,8.63614601298625,10.4188082976156,6.28321973001639,6.25202473648482,9.39996693927656,6.59655941570635,5.93580675089769,"ICD"
"506_02",9.05575584168286,7.57094911623746,7.86671735704113,8.72711735705813,9.92748257001698,8.37469200742721,11.6347530949587,9.51456744328969,12.4885690170041,10.896364339432,10.0823229992147,8.21508789631401,11.0999516389451,9.63555359855126,11.2993885872529,9.83692547688248,9.46428883390011,10.2858587572893,9.61516553276209,6.67521511697601,8.05913939763415,11.1505630571298,11.2809698987061,10.5977315886056,7.2902578330799,12.5852584316995,12.6297432214824,7.87501640171188,13.0939966531435,12.8913714681716,7.30149650347522,6.9979472413292,7.03725268862234,6.8391648227312,7.21882558748076,12.5502283476,11.9428758807525,7.0861151380449,13.7364967143786,7.24287738107556,6.63293968287229,10.2246794221313,9.58261722191022,13.1675214258558,11.8676159211953,12.8544781540718,6.61473103000734,7.36160776276276,10.5915787155114,6.9912819082461,7.19886369137247,7.33135219555703,9.58702604595924,10.2072678967969,12.3276247266851,9.71542292026662,8.27466934993257,7.18445414046703,8.0181577950591,10.2782492040694,12.6377981555949,9.46400392001663,7.6064123738658,7.81740506891455,8.12629792607911,7.73797648172869,11.0671301664311,11.5874801431948,9.58591650975915,7.080020004778,10.3637639150702,7.17239920918002,8.93134353644772,10.5122608233015,11.3252412416184,7.47078675558236,7.32299828431746,10.8677724108663,10.8362579011645,7.6969321963,12.1367072749755,7.84211993147711,11.2654909256616,8.37300645363905,6.87576697162125,8.58608296985258,10.4557550433962,8.10473930157753,8.1686023649387,12.204006226812,9.53719156216415,6.96616152514936,11.3970731028441,7.71773850041174,13.0213476081782,9.27436641181299,8.84587403826876,9.24852884559652,8.4737363156006,8.25592475588205,7.08172915897948,11.7370441483418,9.33847135653673,9.99277042576223,7.19990776869532,11.2853231602772,9.04305573366398,8.24742969342154,9.38607683398578,8.55802781719941,12.6792506103404,9.66864961268321,9.05548228318228,7.58408558428016,8.98631313409676,9.57918222528993,10.6434120208281,12.7476205893474,9.73398603562458,11.7458260899434,10.8368370010984,11.2731465208176,11.7381009686698,10.2229865996333,8.78098981157286,7.48076219000554,9.79725107476902,9.30657507212859,10.9881687629444,11.5185473806258,7.39288131647846,7.58973575329556,10.9639524950112,9.15262564483989,8.69490558763134,"ACD"
"506_04",11.7595285234213,11.1028656111383,9.80328751600085,11.422438542094,11.3354490126012,10.7793015904154,13.503471548736,11.5365168160539,12.8405251593782,12.5988972020329,11.1203235284852,9.19334124846985,12.5207077694208,11.164954086799,12.6599383840758,10.8626035660798,10.1567720825845,11.354614490523,11.086677272461,7.88859765528929,8.99870319369986,11.8635082279814,12.2910842515712,10.9668091493625,6.51661395608088,11.7028403862483,12.2075914456024,6.72849851867435,11.8071373677988,12.2128918565644,6.88369262024964,5.97015875499138,5.90004794103588,6.08377323565333,6.10110927895387,11.4704364050179,11.1213098815125,6.56510402028621,13.1468671654335,6.08507568305815,5.83245348411659,9.20022662087163,8.98941831676154,12.3968173707459,11.0403510290491,12.2677654931167,5.9309878272983,6.55513787770878,9.53597204150908,5.92229162051212,5.71190628237557,5.9175402631931,8.73768549667452,8.43158940983171,11.1644769506624,8.75481428839468,7.65613846011675,6.60355998268206,6.70493601469689,8.48909495475539,11.9196999729753,9.31531815445313,6.1778458404134,5.97846868112394,6.47772349731516,6.00394590639621,9.83077510088069,10.6933369075157,9.12975060823673,6.06905230752669,9.1641660949551,5.85533683062832,7.95699186173409,9.13881471078105,10.4255254986099,5.96147115784061,5.99059627709339,9.52926553243469,9.12785314855277,6.45887056889513,11.4117810116769,6.03780515090929,9.65855195211273,7.49466788439449,6.09472777104465,7.00643963921754,9.39677192326783,6.49423319529014,6.5922080269095,10.5740225667918,8.55910361474888,6.00922722515731,9.43031372665611,6.93371108294656,11.5255851863586,7.25671078193298,7.80078811948407,7.87018464933336,6.41507997404263,6.52187090500067,6.01698399552579,11.1082908932254,7.22711444783141,8.31362594789341,5.85554343628173,9.33816987695647,7.4148783850384,6.41722551572311,7.72446565400137,6.80504435727863,10.4258949005067,7.3560973553404,7.05584019436893,6.27565237327627,6.83613233320086,7.86953914650689,8.74365947226535,10.7812729898324,7.19876480884401,9.91182207146445,9.23173789369081,7.56476559272308,9.39401922207972,8.56497957055814,6.96297440863435,5.82977175932175,8.27102621722638,6.96340843013876,7.79160358387691,8.51647726055346,6.30874868490633,6.48388352527686,8.04355851295274,7.13979066478994,5.87829445990129,"ICD"
"507_04",12.2693501948731,10.5073428342186,10.5419891561095,10.1198763105797,11.7998651081869,10.066426963123,12.907444568502,11.0422816739161,13.4911895957254,12.7555358318037,11.3967027269472,9.69634044646982,12.8250328566063,11.2004447953871,12.222237954467,11.1885667729481,10.1195379452074,11.3180512675172,10.8678479277559,7.53788316290353,8.98129897235352,11.9834823268373,12.0668551449647,11.282479709961,6.96998482918023,11.8266889574673,12.1706261141351,6.92553824449022,11.5942644075263,12.3979124870736,6.87205727290028,6.01684748763954,5.78283340993351,6.34208380501125,6.41965356159596,11.5042131843164,11.175222829228,6.43790919334611,12.8765594769178,6.31654793040432,5.87290164614749,9.57234573290521,8.89325418224375,12.2741701842538,11.0488017389739,12.2006643435176,6.35454155973665,6.3155670090768,9.67246823395153,6.3854873105786,5.9091744467031,5.95750647043601,8.3483358114853,8.77753798241796,11.7971132739928,8.87466434502663,7.64028707464079,6.27739971492637,7.17040329458627,9.08372199170397,11.9337585128039,8.82479548281997,6.07056441376739,6.41095217332829,6.63210206613607,6.59384800845957,10.0597461228313,10.601989936908,8.61524024496386,6.2798988744701,9.01454926016113,6.39983775451057,7.74341173026917,9.24224503501435,10.6235484980713,5.92446963665425,5.92101869674145,9.18738037753362,9.24285286054176,6.65715999968008,10.8444250954261,6.23485772195996,9.26332589649231,7.51812561856366,6.14086966430818,7.00828740015428,9.55504092714958,6.85815937387859,6.55272028124154,10.553161400251,8.47661688821673,5.86963254056912,9.85607858658546,6.30500802724169,11.0695176948659,7.81336387331853,8.23391462571666,7.80838982904685,6.88175239211998,6.3611206341599,6.06058125084291,10.6657700672288,7.5870103352059,8.36720812802947,6.36230046724908,9.67560933244194,7.33086380481955,6.75581072478366,7.6486149670566,6.64796889364419,11.0004472888783,7.66297825880367,7.29808548356866,6.41946990651072,7.21732187737346,8.19240127042366,9.38222451357237,10.8759717984147,7.89260702790608,9.67633396405702,9.76789323899943,7.82431051215293,9.82121361658802,9.04135090106571,7.20888828967365,6.58487039005062,7.89296174936707,6.84043594759336,7.99543122331753,8.82991792590565,6.22964621241207,6.01171642011661,8.84792465230192,6.64909576676834,7.06347177565516,"ICD"
"508_02",11.0161705068227,12.0791609315478,9.78047208049445,11.455802426494,10.8995371849965,9.47290351476042,14.15934505737,10.3878307467576,11.84835661039,12.395023333519,11.4803682406574,8.80651161514859,12.2564256486144,10.3158997015663,11.47868396221,10.6684322071394,9.67244146018436,10.1047414911278,10.7500629643159,6.65175728669419,8.7867069050888,11.4673792532827,11.8906189136728,10.5397977651634,7.01398381395984,12.1738172091904,12.525467743573,7.97975816694746,11.9547305844001,12.2555824631844,7.26187748207756,6.29540714303012,6.04420203979696,6.60381057761034,6.37784763443916,12.3750167130767,11.6884417819834,6.23576655244217,13.4033797747192,6.36633072390845,5.88880968141946,10.0726868912507,9.07605091010873,12.8626474546437,11.8630686669481,12.2379642596772,6.3392368612424,6.80024388503703,10.3949306690852,6.54385702339672,6.03684479981705,6.56461852505687,9.12341374280479,9.12071470253694,11.3285685023528,9.47514413858296,8.13357784288601,6.72191468841693,7.37007424961311,8.90093698704623,12.2434590343066,8.4742646892071,6.30792344934483,7.17758178786348,6.55580996804268,6.37832355157277,10.1517743438893,11.1019768498215,9.63588027739706,6.53544785691046,9.43835653760755,5.98992219249647,8.14872051072371,9.78332796743548,11.299506914651,6.18017113365775,6.60303443830465,10.4397085689465,9.65989149687889,6.90458509054219,12.3395789195192,6.70286415478384,10.3551400275855,8.14012140980341,6.82139857389345,8.21194425104869,9.57127319492681,7.05759445142241,6.97835058489121,10.5931054855983,8.83726725304961,5.97456453237907,10.8011244746245,7.22341089474918,11.3112583865709,7.45783630002761,8.04052401201463,8.39926993080444,7.53161946609956,7.04842040505495,6.18961630105902,10.0220566904683,7.84306055925096,9.42003318679131,6.19036058772256,9.8605834570617,7.86248562532393,7.05619147608503,8.17825820641549,7.43615192370043,11.4992170440212,8.08354842490861,8.06360464264108,6.32864586919146,7.66789745263175,8.77376073199045,9.05460271227591,11.4893332914031,7.64947153964609,11.0270699250643,9.22215468627997,8.45076528797741,10.490709113025,9.35429417101834,7.20760331952804,5.95069677149175,7.97134319809612,7.3471624851655,9.1543571099025,9.15183443226608,6.33546626789031,6.74759562297268,9.16115157203964,9.49549730459735,5.8060308904166,"ACD"
"031_02",11.2020171136154,7.80841767350793,9.546562681072,9.63631257524609,10.4273215098341,7.79763085353022,12.3329907183046,9.47662611770803,13.2957419138001,11.8137917610208,10.4109803741411,8.92619875954301,12.5985592652667,10.6945403863348,11.1434328869907,10.5131408668451,10.5383157035091,9.74610801375634,10.6210033239374,6.48088048634253,7.8574531038856,11.10446512397,11.2358521991982,11.1807644056134,7.14366209028743,12.0786286432698,11.3000098246863,7.47443675279724,11.9336478642488,12.2420744032866,6.40288224475373,5.7188678896205,5.80964739752876,6.40322602425471,5.8313571427501,12.1706244494901,10.8312701013723,5.93695068678484,12.7524477252591,6.72279307088829,5.86557653754382,9.97588230936597,8.34960483112817,12.3652699965655,11.3481313727276,12.6255185667921,5.93063413140104,6.35737658766213,10.1143265854324,6.69859162065191,5.768615446371,5.94169862819882,8.52606352885776,9.02544879973405,11.2981415418964,8.67793680260674,6.98750568143328,6.22695366389892,6.59741987276072,8.63911685943096,12.538300827139,8.09274085983065,5.9358642401554,7.34248072726466,6.50135836775368,6.48351026722937,9.36963996029163,10.7968196641187,7.60943841697386,6.25234509554072,8.89459187261627,5.84868793962189,7.27359197661294,10.163341365463,10.1063138914699,5.76968243109666,5.85488635405549,9.09681600721454,9.46084085782784,6.14496910245254,9.69423116147428,6.48907692546922,9.63382753902447,7.30714352320423,6.19916427273547,6.96639799723211,7.79999688859266,6.93275833144346,7.14256307070856,11.2978584134223,7.62399566195109,5.96103812662914,10.1550099340397,6.5718913800212,11.1384565114213,7.16819390410875,7.42021902257562,7.45735633340999,6.96366298411737,5.98768720848895,5.84554628196911,8.63445476848244,6.99059101888442,8.92445455705969,5.79034637366022,9.56867184445831,6.6430515510837,6.65207982825619,7.59941525496532,6.57733341410864,11.1537905315623,7.17143149298682,6.83445807717478,6.01269020825215,6.52239856782467,7.56888122232004,9.32414600452233,10.2343417017303,6.80606409878528,9.06789080072876,8.53499447009196,7.88541005833796,9.19260749731562,9.03353045955983,6.21545436551773,6.20295404680935,9.78360955212795,6.54618707787481,8.02501070468864,8.77177911925253,6.09206064146922,6.10770210154902,7.54453572028283,10.7798539075445,5.8941665855729,"BASELINE"
"035_04",12.9984817746696,8.99083291975001,10.952521141694,12.1861223838448,11.1235853828414,10.9745411743172,14.0339689454624,11.8147328252462,12.5316996651375,13.1036455307556,11.3206025691261,9.38135298895604,12.5742982465603,11.102617723775,12.1240584574879,11.1715303026985,10.2925520502698,11.3183958820709,11.2444611157899,7.19958327449487,9.22138036116161,11.7692559596912,12.3112298079548,10.8578684556118,6.64461846969742,11.9893903161454,11.3725036847762,7.10640130116016,11.7005598344551,11.9699991742893,6.58469647703656,5.66933379799669,5.917547490014,6.3249441737543,6.24006052667373,11.6893347390503,11.1116217377787,6.21969218543643,13.2303866411992,6.95451566600938,5.82632541804885,9.35561733627033,8.1940924138341,12.1153268736358,11.3239895892031,12.164243252441,5.97376369756974,6.22830106950932,9.46282049446834,6.36951532586325,5.85531420431636,5.95343296886227,8.33460319889168,8.64210420331832,11.3433488024634,8.72686883448569,6.85162616453882,6.83749173864639,6.4565995891645,8.96008408099315,11.8618799587324,8.09493976368955,5.99416275020078,6.37922178445079,6.47550604072384,6.27486426341185,9.45727783244882,10.2871574901853,7.86863012204328,5.92992038603238,8.60145402144632,5.87737963852242,7.03972933487107,9.62777225383356,9.50750034569491,5.91145374231373,6.27495995564881,8.81733678522222,8.82334294895169,6.20828803887434,10.807355304934,6.31774877086753,9.47490447677013,6.79368486892108,6.0107125998917,6.79215524708115,8.41765391431924,6.57556952840955,6.38517507214444,10.5405444668072,8.24160597229938,5.86315692844223,10.1860780003674,6.18112174209974,11.4824336799682,7.32458404432932,7.10910398170403,7.19754898918264,6.53534749229215,6.13719717287573,5.79218470005557,8.94679989471781,6.99522994727656,8.66919771617036,6.93368204932003,9.21302756327567,6.86531257710629,6.49237996464084,7.34613527799057,6.50769676962192,11.2008744693041,7.79558915257318,6.8573453155007,5.91786075486149,6.65789811935663,7.62936609903428,8.87204723299223,10.3853385216869,6.85543746803096,8.87098804203333,8.03551621681972,7.75118800943425,8.80724566181559,7.9447075806066,6.48070592503579,7.32449300674549,7.1762806579071,6.79735404425936,9.31635206119848,9.38137620888368,6.09335461003463,6.03738524348908,9.13488267028309,8.17115431991817,5.87010448052371,"ICD"
"037_04",11.4915106440173,8.06821527245831,6.48936779617426,10.6076065038334,9.81241830997881,10.1868355253659,13.618932828551,11.0893179236831,12.9604976811473,11.7863083305441,10.1190036243457,8.32265774682993,10.792901750883,9.98293348740856,11.6128032290759,10.2559442703739,9.70342782753152,11.0822363385745,10.406669247169,7.08911133263404,8.58451343285986,11.3207739116975,11.9771927542951,11.0313345276881,7.0246954883952,11.4071756419302,11.8129531345279,7.27901480964718,12.8367940038605,12.5390231133185,6.60883105639413,5.8990061682421,5.8816705911506,6.93250273286494,6.35876919511802,11.970913411063,10.6071817619909,6.9209412635723,12.9398861082221,6.40308235783082,6.09409070476331,10.3509318018834,9.28050723377748,13.1819392724433,11.5548845387299,12.2957303077748,6.4438531822696,6.95314364874109,9.1280769345661,6.31782095855147,6.34437238794963,6.07397418397811,9.40002770910712,9.72592738731418,11.8779830403384,8.56537814376281,7.73961737183789,6.59647934929276,7.52975235720923,9.86255973526788,11.5946448314936,9.47025014428402,6.88349098007401,6.63509289106862,7.86396159432318,7.21964570427732,10.6713916876184,10.8781594839543,7.93609678873624,6.64983044779721,10.0197451608149,5.75112216432761,8.7400704245005,9.55306519376544,10.9474689157455,6.89175204858548,7.01240196230183,9.65455762379216,10.0278430279518,6.7024988807987,10.525797451914,7.32869611358549,10.9589596157133,8.04313100414439,6.92019578368283,7.16824700194704,9.03411652813914,7.97866344431789,7.12356087634232,11.5272162899746,9.10913786619412,7.00978671433458,11.0851847426459,7.54949590086965,12.8867915013229,8.98736103915086,8.37533345810632,7.84234067267239,7.97121394060653,7.40230297023603,6.79254743351114,11.1974290199653,9.05194499560857,9.60550491336278,7.31420063187283,10.8061012214642,8.28170832837673,7.49269548308367,8.96369028604016,7.74378542181628,11.508978589846,8.84161860160059,8.47022972311004,6.31756607963961,8.21670050345319,9.45067555767116,10.1832886110992,12.5661423422398,8.77452140125764,10.3624405204764,10.2483582835207,10.2798748776675,11.6729716607579,10.4123147576252,8.60050404620803,6.86396490312982,9.54142996035469,9.07112653717908,7.98856521555319,10.9869300579665,6.28318705322562,6.09173063403208,10.3946982096906,8.08845914942265,6.55846737005139,"ICD"
"038_02",9.43565512337909,8.79129353391921,6.51643015752311,8.95447003305067,8.66599453794549,7.60917826542314,11.9151430676607,9.17052058589383,11.2051720222693,10.8026945016279,9.23943927436392,7.31353384340696,10.9854727519753,8.98703444066178,11.0259377007274,9.46936128779887,9.04950571172445,9.69512400568329,10.1134147977379,7.30420036516563,7.54581846650758,10.5507541592868,11.3405281060308,10.3985884758667,7.31370584586854,11.9109238971562,12.1525976131518,7.89276581931449,12.7303739731873,12.7604323196785,6.7377464544701,6.50558131093995,5.98415811643635,7.59886330181196,6.80016131002123,12.1668443192083,11.2762687224043,6.43325365446005,13.353924285591,7.28408899032496,6.26752216659002,10.3481866846691,9.35291502643324,13.0100341395125,11.9740655810051,13.291748034136,6.88660990865781,6.87113155287899,10.1845119967761,6.03533885144148,6.79212916860995,6.85204463708573,9.61388651095512,9.58131911604776,11.7513874728506,9.25288785671351,8.09729637951813,6.91612651887925,7.36946929027249,9.65625541424936,12.1329069955524,9.43155093777527,6.71178262129009,6.91731821975608,7.55773333313494,7.10209123738913,11.1680821278932,11.5141365615113,9.47951358264901,6.79868676585385,10.0004359235042,5.73932965883494,8.6663263000154,9.8022056818934,11.965799846045,6.54848349853231,6.56464626554484,10.9084069573479,10.5129004042824,7.78988792901691,11.8762578896638,7.75956246991522,11.1380212313375,8.98445479645152,8.06668523028239,7.9721745252384,9.80121770750545,7.78375903463421,8.50064080613759,11.7331373220371,9.46300462051407,6.43853505473741,11.1508015557302,7.51243256893199,13.303345584849,9.49359432059322,9.54420032415272,8.54178091646676,8.49207611509785,7.36368403571907,7.39247576517034,12.0365744784866,9.01832125631592,10.3607966730424,7.54033802211859,10.5698697739833,8.53199566839922,7.6387107017132,10.3365119511372,8.17337324272692,12.8917317779649,9.28863629715069,9.54671591850442,8.21542040432227,8.71906369207382,10.7215616331687,10.8399995439107,13.8058416707183,10.0695134678802,12.0889656864727,10.3999896752431,10.3759701645845,12.3556492212418,11.4487683732201,9.8457129164196,7.84017174267236,10.2755226060549,9.84943397653899,9.02567740975646,11.6521150738803,8.79959006091015,8.64618056890142,11.6431811269674,10.9556161668368,8.43962909000428,"ACD"
